"Country Name","Country Code","Indicator Name","Indicator Code","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Albania","ALB","Employment Growth","DET","-3.819643","-5.144008","-0.4343272","0.2681364","1.188623","1.766203","-2.196217","-0.4201335","7.193305","-10.99367","11.95015","-0.5275594","-1.093463","-1.037624","-0.9588405","-2.155988","-0.2326283","-1.474851","0.466875","1.253806","1.224096","-1.223679","0.9148926","1.056341","1.080918","1.023165","0.8674622","0.697579",
"Algeria","DZA","Employment Growth","DET","1.479379","4.357911","2.991074","-0.2194515","3.479185","7.494214","2.8001","2.62815","-3.292543","6.323568","4.602415","5.621138","7.353931","8.607694","6.018167","0.5772045","5.214593","3.421365","2.960319","2.431202","1.166459","3.420366","2.259347","1.912917","1.717834","1.561061","1.43765","1.351692",
"Armenia","ARM","Employment Growth","DET","-1.702865","-3.709888","-1.134874","-8.299747","5.085876","1.090657","-1.043959","0.9156014","-1.322822","-20.69077","11.50858","-2.000646","-7.913617","7.711138","-2.259348","-0.7533799","15.60136","-1.602007","3.631798","3.451948","1.326547","2.411546","-0.3165055","-0.1307013","-0.1051587","-0.1223002","-0.1352825","-0.1233476",
"Australia","AUS","Employment Growth","DET","-0.4647637","0.6074271","3.198725","3.714627","1.098854","0.8492177","2.200667","2.061705","2.73812","0.9573866","1.865355","2.288193","1.932398","3.721357","2.79575","3.283307","2.776156","0.3356186","2.228532","1.728541","0.693006","0.5778751","0.9364979","0.9698653","1.014542","1.038288","1.05444","1.058127",
"Austria","AUT","Employment Growth","DET","2.052591","0.5279542","4.421499","0.8768468","-1.083777","0.0421432","-0.1593955","0.9429638","0.3734319","0.6424212","1.421474","1.068414","-1.050877","1.569392","2.522409","2.540872","1.595422","-0.1444937","0.5886114","1.089447","0.7016694","-0.1556412","0.4099758","0.3812557","0.2872131","0.1841082","0.1170194","0.0547944",
"Azerbaijan","AZE","Employment Growth","DET","-0.2740462","2.397794","2.488897","2.65227","3.594553","-0.3572553","-2.436274","7.759613","-4.71933","3.617523","3.674679","3.537109","3.894549","3.201615","3.099152","2.576768","2.590542","3.120713","1.466758","2.624493","2.443991","1.723498","1.653472","1.489327","1.313267","1.129672","0.9754965","0.8474168",
"Bahrain","BHR","Employment Growth","DET","3.887768","3.763977","3.46284","1.592685","4.27856","3.029516","2.363915","3.339445","5.551375","6.049618","3.76461","4.875926","5.931767","10.99248","12.93713","13.64884","12.52449","9.834573","6.641849","3.628536","1.324789","-0.0650412","-0.2651779","0.3927515","1.274258","1.87636","2.239631","2.211506",
"Bangladesh","BGD","Employment Growth","DET","2.535511","2.387529","2.36995","2.372584","2.611664","1.772595","2.636399","1.491706","1.813679","2.575317","2.477715","1.505366","2.118262","2.34425","2.120729","1.809034","1.75095","1.158296","2.423041","2.029374","2.090021","2.249907","2.173763","2.090335","2.017449","1.950395","1.876359","1.788601",
"Belarus","BLR","Employment Growth","DET","-1.245985","-1.376462","-1.199551","-1.342721","-1.248244","-1.200668","-1.128116","-1.14988","-0.3325045","-0.4837405","-0.6944597","-0.5308548","-0.6373689","-0.6248251","-0.732361","-0.7481133","-0.7525668","-1.093153","0.3502229","0.1803596","0.011371","-0.1739623","-0.3603525","-0.4665134","-0.5769467","-0.7028589","-0.7971252","-0.8452153",
"Belgium","BEL","Employment Growth","DET","1.236166","-0.9272234","-0.1137691","1.133188","-0.0431246","1.00217","0.471783","3.368921","3.270964","-1.923973","0.629007","-0.1161638","1.850389","2.485684","0.783659","2.813142","1.515421","-0.564664","1.300028","0.1071679","-0.0097784","-0.1450427","0.1963928","0.2537765","0.2308569","0.2062121","0.1772258","0.1565869",
