"Country Name","Country Code","Indicator Name","Indicator Code","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Albania","ALB","Real Wage Growth","DWR","12.5","16.3","19.6","-21.2","-0.4","10.8","10.2","7.6","6.1","9.4","-0.1","2.6","6.7","21.6","21.3","2.9","-6.9","1.5","0.2","3","1.5","4.1","4.1","5","4.8","4.2"
"Algeria","DZA","Real Wage Growth","DWR","-7.3","-6.4","1.8","-3.9","-5.1","-1.5","0.4","3.1","-0.7","1","-0.2","-6.7","6.6","4.6","4.3","1.6","0.9","5.1","2.5","2.1","1","2.6","2.3","1.4","0.9","0.4"
"Armenia","ARM","Real Wage Growth","DWR","-2","26","11.4","25.8","22","11.3","13.5","4.5","10.4","21.6","16.8","19.1","16.2","14","8","6.1","-0.3","-2.2","2.1","32.2","4","3.7","3.2","3.1","4.1","5"
"Australia","AUS","Real Wage Growth","DWR","2.1","2.1","0.3","2.8","1.6","0.5","-0.1","0","0.7","2.9","0.5","2.7","1","2.1","-0.7","2.6","2.3","0.5","2.4","1.5","2","1.6","1.5","1.5","1.7","1.7"
"Austria","AUT","Real Wage Growth","DWR","-0.4","-0.1","-0.9","0.2","2.6","2","0.9","0.1","1","0.2","-0.8","0.5","2.2","0.9","0.1","1.9","-0.4","-1.3","-0.1","1.5","0.5","0.6","0.7","0.9","1.1","1.1"
"Azerbaijan","AZE","Real Wage Growth","DWR","-21.3","-20.8","7.4","1.8","22.4","19","16.8","16.4","17.9","19.6","20.5","14.2","10.9","24.3","5","7.1","5.4","1.6","8.2","3.8","4.1","4.2","3.4","3.9","4.5","4.9"
"Bahrain","BHR","Real Wage Growth","DWR","0.2","1.2","0.9","1.4","1.7","-3.9","2","-2.2","1.4","3","-3.3","-4","-2.4","5.1","5.5","-4","4.2","3.4","0.3","2.6","1.8","2.2","1.8","1.6","1.4","1.4"
"Bangladesh","BGD","Real Wage Growth","DWR","0.1","0.7","1.7","-0.3","-0.9","-0.6","3.2","2.2","2.1","5.3","0.2","-1.1","-0.3","-1.2","2.7","12.8","0.5","-4.3","5.3","6.2","2.9","3.1","3.3","3.5","3.6","3.6"
"Belarus","BLR","Real Wage Growth","DWR","8.3","-1.1","5.1","14.3","18","7.3","12","29.6","7.9","3.2","17.4","20.9","17.3","10","8.9","0.1","15.1","1.9","21.5","16.4","7.8","8.2","7","8","9","9.7"
"Belgium","BEL","Real Wage Growth","DWR","0.9","1.5","1.8","-2.3","1.6","2.5","0.3","1.3","-0.2","3.1","2.2","-1","-0.1","-1.2","-0.2","3.9","-0.9","-1.3","-0.3","0.2","-0.1","0.3","0.6","0.7","0.8","0.9"
"Bosnia and Herzegovina","BIH","Real Wage Growth","DWR","","","5.9","8.2","-0.4","8.6","8","1.5","1","1.8","8.2","8.6","8.6","-1","0.7","-0.5","0.2","0.7","1.7","1.7","2.3","2.7","2.9"
"Botswana","BWA","Real Wage Growth","DWR","3.1","0.3","1.6","4.3","4.4","3","-0.9","6","5.3","-1.8","1.1","2.9","0.1","3","-4.8","5.4","4.3","-6.2","-1.2","3.3","3.5","3.6","2.8","2.9","2.7","2.6"
"Brazil","BRA","Real Wage Growth","DWR","2.8","2.2","0.5","2.9","0.2","0.2","-0.5","3.1","-0.9","-5.5","-1.8","0.6","2.9","3.6","4","3.4","3.9","2.6","4.2","1.7","2.6","1.7","1.1","1.7","2.7","2.9"
"Bulgaria","BGR","Real Wage Growth","DWR","-0.2","2.8","-0.9","-2","2.7","7.1","1.5","-0.7","1.6","3.4","0.8","4.6","3.4","11.3","13","9","3.3","2.4","4.1","10.1","2","3.5","2.6","3.5","4.2","4.5"
"Burundi","BDI","Real Wage Growth","DWR","-3.4","-5.3","-4.7","-1.4","0.8","5.4","2.3","0.6","1.8","2.8","0.4","2.1","1.3","13.3","-12.5","2.1","1.6","1.7","2.2","-0.9","1.8","2","2.2","2.4","2.6","2.9"
"Cambodia","KHM","Real Wage Growth","DWR","5","4.3","1.9","-1.1","-2.9","0.7","4.8","4.3","4.6","5.2","6.1","10.3","10.9","9.2","-5","-8.1","9.9","3.4","20.8","6.1","5.7","5.4","6","5.9","5.9","6.1"
"Canada","CAN","Real Wage Growth","DWR","1.7","1.7","0.5","0.4","0.5","-0.5","-0.4","-2.3","0.1","0","0.8","1.7","0.4","2.1","0.5","1.2","1.8","-0.4","1","0.8","0.7","1.3","1.2","1.2","1.2","1.1"
"Chile","CHL","Real Wage Growth","DWR","1.1","3.8","3.4","2.6","1.2","1.2","1.1","0.4","0.5","0.6","1.8","2.3","0.6","2.8","0.6","4.6","2.6","2.4","2.9","2.8","2.5","1.6","1.8","2.3","2.7","2.8"
"China","CHN","Real Wage Growth","DWR","12.4","9.2","3.1","4.9","16.6","13.2","11.8","15.3","15.1","11.6","9.7","12.3","12.9","13.1","10.4","12.4","9.7","8.5","9","7.3","6.5","6.4","6.3","6.2","6.2","6.2"
"Colombia","COL","Real Wage Growth","DWR","1.7","0.4","0.6","4.5","2.6","-4.9","-7.1","-1","-7.6","1.1","3.3","5.8","-2.6","21.2","2.2","-6","8.6","0.6","-2.4","1.9","1.4","2.9","1.8","2","2.1","2.1"
"Congo","COG","Real Wage Growth","DWR","-5.2","-0.7","-5.3","-3.6","-3.5","-4.9","-0.4","-1","0","-2.6","-1.2","1.5","-3","-1.7","-1.5","-0.8","3.3","0","0.5","-1.1","0.8","2.5","1.5","2.7","1.1","0.2"
"Costa Rica","CRI","Real Wage Growth","DWR","2.6","0.4","-1","0.7","6.2","7","-0.2","2.3","0.5","-0.9","-2.5","-2.2","1.7","1.4","-2","10.1","3","6.3","1.6","1.6","2.1","2.7","2","2","2.5","2.7"
"Croatia","HRV","Real Wage Growth","DWR","","","8.4","9.1","5.5","5.9","2.3","0.2","4.3","3","4.3","1","2.9","3.3","0.9","-0.2","-1.4","-0.7","-2.3","-1.3","-1","0.7","0.8","1.3","1.7","1.8"
"Cyprus","CYP","Real Wage Growth","DWR","0.1","3.2","0.1","1.1","1.7","2.6","2.2","3.1","2.2","2.1","2.2","1.5","2.5","1.6","1.5","3.7","-0.2","-0.7","-1.4","-1.9","-3.7","-1.6","-1","-0.5","-0.3","0.2"
"Czech Republic","CZE","Real Wage Growth","DWR","","","8.7","1.2","-1.3","6.2","2.5","3.9","6","5.7","3.4","3.1","3.9","4.2","1.4","2.3","0.8","0.5","-0.8","-1.4","-0.6","0.6","1.8","2.1","2.1","2.2"
"Denmark","DNK","Real Wage Growth","DWR","2.5","2.4","2.6","0.7","1.5","1","1.9","3.1","-0.6","1.4","-0.4","1.8","0.8","3","-0.8","2","1.3","-1.1","1.6","0.8","0.4","0.8","1","1.1","1.2","1.2"
"Dominican Republic","DOM","Real Wage Growth","DWR","3.3","1.7","1.6","4","4.2","4.3","2.8","2.7","1.8","-0.5","0.9","1.9","-0.4","4.1","-0.6","2.2","0","3.2","2","1.6","2.3","3.2","3.1","2.6","2.5","2.5"
"Ecuador","ECU","Real Wage Growth","DWR","3.4","-0.1","2.2","3","2.9","0.4","0.2","-0.2","28.3","-3.6","21.6","-6.3","0.2","10.2","-2.9","-0.2","6.2","3.7","2.1","2.8","5.7","6","6.4","7.5","8.6","10.1"
"Egypt","EGY","Real Wage Growth","DWR","0.4","2.3","2.6","2.7","2.5","2.8","10.1","-7.2","2.6","6.8","1","0.2","6.1","-0.8","16.9","-5.3","8.5","-25.6","0.2","0.6","-0.3","0.2","0.8","1.6","2","2.2"
"El Salvador","SLV","Real Wage Growth","DWR","4.6","1.1","2.6","1.9","1.8","-0.5","3","-2","-0.6","-4.6","-5.7","0.8","-3.9","1","-5","4","-3.3","-5.2","1.2","0.5","0.2","0.2","0.4","0.6","0.5","0.2"
"Estonia","EST","Real Wage Growth","DWR","","2.8","2.1","7.4","7","4.5","5.9","6.1","7.8","7.9","5.2","6.4","11.5","13","2.9","-5.2","-1.7","0.8","1.4","3.6","-0.2","0.5","2.1","2.9","2.9","2.8"
"Ethiopia","ETH","Real Wage Growth","DWR","2.6","1.8","1.8","3.9","1.3","0.4","2.2","2.9","2.8","1.5","0.3","3.9","3.6","3.2","3","3.2","2.5","3.8","4.2","4.3","3.7","3.1","3.2","2.9","2.7","2.6"
"Fiji","FJI","Real Wage Growth","DWR","0.7","1.5","1.2","-9.5","-6.4","2.5","-0.9","1.2","0.3","3.3","0.9","0.7","-0.3","15.3","-8.1","-11.7","0","1.6","2.3","-0.9","1.8","2.1","2","1.9","2","2.2"
"Finland","FIN","Real Wage Growth","DWR","3.8","3.8","2.5","2.5","3.5","3","2.2","2.8","1.5","2.4","3.5","3.1","1.8","2.2","1.2","1.6","0.6","-1","0","0.1","-0.1","0.7","1.2","1.5","1.6","1.6"
"France","FRA","Real Wage Growth","DWR","0.3","1","0.8","-1.8","0.8","2.3","0.9","1.4","2","0.6","1","1","1.2","0.7","0.3","1.9","-0.2","0","1.6","1.2","0.9","1","0.9","1.3","1.4","1.5"
"Georgia","GEO","Real Wage Growth","DWR","","","","38.6","23.5","3.8","1.8","26","13.7","5.5","17.9","20","24.8","21.2","32.2","2.3","0.2","-2","13.2","8","6.1","7.5","7.9","8.2","8.6","8.8"
"Germany","DEU","Real Wage Growth","DWR","1.1","1.5","0","-1.5","0.2","0.6","-0.1","0.1","0.1","0.1","-1.2","-1.6","-1","-0.8","-0.4","-0.2","1.1","0.8","0.8","0.6","0.4","1","1.3","1.4","1.4","1.5"
"Greece","GRC","Real Wage Growth","DWR","-1.2","0.1","0.3","1","2.9","3","2.1","4.6","1.9","14.3","2.5","-1.7","3.3","5","-3","9.7","-8.4","-7","0.2","3.5","-0.1","-0.8","0.8","1.5","1.9","2.1"
"Guatemala","GTM","Real Wage Growth","DWR","-14.9","-11.7","-7.8","-10","-4.8","-4.7","-5.9","-5","-4.3","-1.6","-3.7","-1.8","-3.7","-2.4","-0.7","-2.3","-2.5","-0.4","-8","3.3","0.7","0.6","0.6","0.6","0.6","0.7"
"Guyana","GUY","Real Wage Growth","DWR","5.9","6.1","4.1","4","1.4","1.2","0.1","-0.3","0.9","1.6","0.7","-5.3","-5.2","-9.1","-3.1","4.4","2.4","2.8","3.5","3.5","3.6","3.2","2.7","3.5","3.5","3.5"
"Honduras","HND","Real Wage Growth","DWR","1.4","-4.3","-1.9","3.2","8.3","8.6","5.36","5.1","-1.6","1.3","-4.8","2.8","1.3","6.1","-0.3","5.1","-5.7","0.9","-5.3","-1.2","0.8","1","1.2","1.3","1.1","1"
"Hong Kong","HKG","Real Wage Growth","DWR","3.8","4.2","2.6","1.3","-0.3","-1","0.2","3.3","1.2","1.2","-2.1","-1","2","1.7","-4","-2.9","1.9","4.1","0.4","-0.2","1.4","1","0.9","1.2","1.3","1.5"
"Hungary","HUN","Real Wage Growth","DWR","4.1","4.6","-2.5","3.3","3.6","3.5","3.4","8.2","12.4","7","-0.7","5.1","4.2","0","1.3","-3.5","-3.4","1.2","-1","1.7","0","2.4","2.3","2.8","2.6","2.7"
"Iceland","ISL","Real Wage Growth","DWR","1.7","2.4","0.6","2.3","3","6.2","6.1","4.8","1.3","5","1.6","8.4","2.8","6","-5.1","-8","-1.1","0.9","1.5","1","1.4","1.7","1.9","1.9","1.8","1.8"
"India","IND","Real Wage Growth","DWR","0.7","1.7","6","-5.9","-6.6","-3.1","3.4","3.2","-1.8","0.7","0.1","-2.5","-3.2","0.5","1.4","-1.1","1","3.2","2.3","1.4","1.3","2","1.9","1.9","1.9","2"
"Indonesia","IDN","Real Wage Growth","DWR","2","6.5","5.2","9.8","-25.5","2.1","20","21.7","11.1","3","10","-1.7","-6.1","-1.6","-2","0.2","6.7","-1.9","15.7","4.8","4.1","4","3.8","4.2","4.4","4.6"
"Iran (Islamic Republic of)","IRN","Real Wage Growth","DWR","-7.2","-6.9","-2.5","0","-2.3","-4","-3.7","-1.5","4.8","8.2","5.4","9.5","5.8","-3.8","-9","-1.4","-5.5","-10","-5.4","-9.9","-9.6","-8.4","-7.3","-6.9","-6.3","-5.8"
"Ireland","IRL","Real Wage Growth","DWR","1.9","4.6","6.6","7.9","3.3","6.8","5","2.7","3.7","1.6","2.1","1.8","3.4","-1.3","1","1.8","-0.3","-1.7","-1.4","-1.2","0.6","0.8","1.7","2.1","2","2.2"
"Israel","ISR","Real Wage Growth","DWR","1.3","0.6","1.6","2.4","2.1","2.6","6.2","3","-6","-3","2.5","1.8","1.3","1.6","-0.7","-2.6","0.7","0.4","0.9","0.9","-0.9","1.2","1.3","1.6","1.7","1.6"
"Italy","ITA","Real Wage Growth","DWR","2.7","3.8","9.2","3.7","-0.2","0.8","0.3","1.4","-2.1","-2.4","1.2","1.2","1","0.1","-0.8","-0.6","0.5","-1.6","-3.3","-1.4","-1.4","0","0.4","0.6","0.6","0.7"
"Jamaica","JAM","Real Wage Growth","DWR","1.9","0.1","0.3","0","-0.7","-1.6","-0.7","-0.9","-0.2","-7.7","-7.1","-4.8","3.2","1.5","-6.2","-6.8","-12.3","10.7","-4.7","-5","0","-0.7","-0.9","-0.5","-0.4","-0.4"
"Japan","JPN","Real Wage Growth","DWR","1.1","1.7","2.2","1.8","-0.9","-1.1","1.9","1.8","-0.3","0.4","0.1","0.5","-0.2","-0.2","-1.9","-1.9","2.3","0.5","0.6","-0.8","1.1","0.9","0.9","1.3","1.2","1.1"
"Jordan","JOR","Real Wage Growth","DWR","-1.8","-1.1","1.5","-0.9","-0.2","0.6","1.5","0.9","1.6","0","-4","4.6","0.6","4.1","0.7","5","2.3","1.6","0.4","0","-0.5","-0.4","0.2","1","1.6","2.1"
"Kazakhstan","KAZ","Real Wage Growth","DWR","-5.6","-3.4","2.7","6.3","5.7","13","6.9","11.1","11","6.9","14.6","11.8","10.3","16.1","-1.1","3.2","7.6","7.1","7","5.4","5.1","5.2","4.6","4.7","5.5","6.2"
"Kenya","KEN","Real Wage Growth","DWR","-1.7","-0.3","0.5","-2","0.2","-1.1","-2.1","1","-2.7","2.6","7.8","-1.4","1.4","4.2","-7.4","-5.5","-1.2","-8.3","-4.2","0","0.4","1.5","2.1","2.4","2.5","2.6"
"Korea (Republic of)","KOR","Real Wage Growth","DWR","2","2.3","6.6","2.5","-9.3","7.3","5.6","1","8.2","5.5","2.3","3.8","3.4","2.9","-8.5","-0.1","3.8","-2.9","3.1","2.5","2.1","2.4","2.5","2.7","2.7","2.8"
"Kuwait","KWT","Real Wage Growth","DWR","12.4","7.8","2.3","1.2","0.6","1.8","-0.7","0","1.3","0.2","3","3.7","-2.5","5.4","4.2","2.5","0.3","8.8","0.8","2.4","1.3","0.6","1.1","1.5","1.8","2"
"Kyrgyzstan","KGZ","Real Wage Growth","DWR","-11.3","-12.5","1.1","12.2","12","-8.1","-1.6","10.9","13.4","10.4","12.3","11.8","18.6","10.2","8.8","7.2","7.5","12","13.6","-1.5","7.9","6.3","4.8","5.6","7","7.5"
"Latvia","LVA","Real Wage Growth","DWR","-14.1","1.2","-6.5","12.2","6.3","3.8","3.6","47","6.8","8.2","3.1","9.1","15.3","19.6","4.5","-7","-2.2","0","1.5","4.5","0.3","0.5","1.2","2.3","9.1","2.7"
"Lesotho","LSO","Real Wage Growth","DWR","0.3","2.6","-0.1","4.1","-5.8","9.9","-1.2","-13.3","-5.8","-9.6","5.1","7.3","-10.5","-19.2","-3","-4.8","-0.8","16","14.8","3","1.1","1.3","3","3","3.2","3.3"
"Lithuania","LTU","Real Wage Growth","DWR","","","","4.8","7.3","5","-2.7","-0.4","2.9","7","5.9","8.2","13","13.8","7.5","-8.3","-4.4","-1.4","0.8","3.8","1.8","2.1","1.9","2.6","3.6","3.9"
"Luxembourg","LUX","Real Wage Growth","DWR","2","2.5","-0.8","-1.3","-0.4","4.1","1.6","0.9","1.3","-1.3","0.1","0","0.6","1.3","-1.3","1","0.2","-1.5","-0.9","1.6","0.4","1.7","1.8","1.5","1.4","1.4"
"Malawi","MWI","Real Wage Growth","DWR","-12.1","14.5","-0.7","1.3","0.2","-1.4","0.7","3.6","38.7","31","4.2","8.8","-6.3","1.7","0.4","1.7","2.5","1.2","-4","0.9","0.8","2.6","1.6","1.2","1.3","0.9"
"Malaysia","MYS","Real Wage Growth","DWR","3.7","3.7","6.9","5.9","-2.5","3","5","1.8","3.1","2.8","2","6.4","0","3.2","-3.3","0","4","3.9","3.7","5.3","2.7","2.9","2.7","2.6","2.6","2.6"
"Malta","MLT","Real Wage Growth","DWR","","","","4.7","2.1","5.6","-0.6","-1.7","-1.6","-3.6","-2.4","-8.5","1.7","2.2","2.1","-1.3","0.1","0.6","-0.4","0.4","1.5","2.3","2.7","2.7","2.6","2.5"
"Mauritius","MUS","Real Wage Growth","DWR","-1.1","0.8","0.4","4.9","-0.3","1.7","4.9","1","-1.1","3.2","7.9","3.5","-3.9","-2.5","-1.8","14","5.1","1.2","3.3","7","2.6","2.6","3.4","3.6","3.8","4.1"
"Mexico","MEX","Real Wage Growth","DWR","1.3","1.3","-11","-1.6","1.8","0.4","6.9","6","3","2","1.5","1.9","1.6","1.5","0.2","-1","-0.9","0.8","0.2","0.1","0.8","1","1.1","1.5","1.7","1.9"
"Moldova (Republic of)","MDA","Real Wage Growth","DWR","-4.9","-13.6","5.9","5.3","5.5","-12.4","2","21.6","20.9","15.3","10.1","6.9","14.2","8.3","8.7","8.6","0.7","-4.9","6.5","2.4","3.3","1.4","0.8","2.1","2.5","2.9"
"Mongolia","MNG","Real Wage Growth","DWR","2.6","3.8","-3.4","4.3","1.4","2.7","0","-1.5","8.3","8.7","5.8","-3.2","20.8","25.2","25","3.1","3.2","15.4","14.3","12","6.4","7.7","8.2","4.8","8","7.4"
"Montenegro","MNE","Real Wage Growth","DWR","","","","1.8","2.1","1.9","4.1","10.9","12.4","1.9","10.5","-2","-2.8","-2.3","3","-0.2","3","4.5","3.2","2.9"
"Morocco","MAR","Real Wage Growth","DWR","-1.5","-1.7","2.3","1.7","0.2","3.3","-0.3","0.2","4.2","3.1","2.4","0","-0.3","0.8","0.8","4.3","1.5","2.4","1.9","0.4","1.2","1.2","1.4","2","2.4","2.5"
"Mozambique","MOZ","Real Wage Growth","DWR","2.4","3","0.9","6","7","7.1","4.4","3.1","7.6","6.4","6.4","8.1","0.6","5.9","-8.8","10.3","10.9","2.4","-9.3","4.5","6.9","5.6","4.8","7","4.9","6.4"
"Nepal","NPL","Real Wage Growth","DWR","1.9","2.7","1.6","1.6","1.7","0.8","1.4","3.5","0.3","0.8","2.3","2.8","-1","4.5","4.6","3.9","4.6","15.4","8.1","-0.1","3.8","3.9","3.5","3.6","3.3","3.3"
"Netherlands","NLD","Real Wage Growth","DWR","0.3","1.1","0.1","0.6","1.9","1","0.5","-1.1","0","0.5","0.4","-1.5","1","0.4","1.1","3.3","-0.2","-1.5","-1.2","0.4","0.4","1.2","1.5","1.6","1.5","1.5"
"New Zealand","NZL","Real Wage Growth","DWR","2.3","2.1","1.3","1.2","-0.2","1.9","-0.4","1.8","-0.8","3.7","0.9","3","-0.3","4.9","0.1","0.1","1.6","-1.5","1.6","3.2","1.6","1.7","1.9","1.8","1.7","1.7"
"Nicaragua","NIC","Real Wage Growth","DWR","-4.3","-1.1","-2.3","-0.1","7.4","4.5","1.6","4.4","4.3","2.6","0.3","5.6","3.6","-7.5","-10.1","8.5","-0.3","-3.2","-1.4","-0.3","1","1.4","1.6","1.5","1.4","1.5"
"Norway","NOR","Real Wage Growth","DWR","2.4","2.4","2","1.4","5","1.8","1.7","1.5","5.4","0.9","3.1","1.7","2.3","4.9","1.9","1.3","1.5","2.5","3.2","1.4","2","1.8","1.6","1.3","1.3","1.4"
"Oman","OMN","Real Wage Growth","DWR","1.5","1.4","2.5","2.7","4.5","6","0.6","2","1.1","1.9","0.8","1.8","0.3","5.1","-2.1","1.5","-3.2","32","8.6","1.5","0.7","0.8","1.6","1.4","1.6","1.7"
"Pakistan","PAK","Real Wage Growth","DWR","1.7","1.2","2.1","1.4","-5.2","-3.1","-2.6","0.9","0.5","5.2","5.4","1.5","2","7.1","3.5","-1.8","2.6","-0.9","1","3.6","2","2.5","2.2","2.2","2.3","2.6"
"Panama","PAN","Real Wage Growth","DWR","0.8","-0.6","-7.7","0.6","-1.4","-0.7","-5.4","-1.7","-2.3","0.5","0.9","-1.7","2.5","1.3","-3.1","2","7.4","-0.5","3.9","4.7","4.5","3.5","3.1","3.2","3.3","3.5"
"Paraguay","PRY","Real Wage Growth","DWR","1.3","1.9","-5.8","15.3","-3.3","-3.1","-4.7","-14.6","-2.3","1.9","-8.4","6.9","-2.1","-3.8","2.2","2.3","8.6","4.8","0","-0.2","5.6","4.4","2","1.7","1.8","1.9"
"Peru","PER","Real Wage Growth","DWR","1.4","4.4","11.9","1.8","10.9","6.3","-4.9","-6.6","1.6","-1.5","-30.6","1.2","2.4","6.3","0.4","5.6","0.1","1.5","4.8","3.4","3","1.8","1.5","2.6","3.5","3.5"
"Philippines","PHL","Real Wage Growth","DWR","-0.6","-1.3","-1.2","0.5","-2.1","-2.6","1","-1.5","-0.9","-0.6","-2.9","-1.7","1.2","-1.1","-3.3","0","1.6","-1.1","1.9","1.6","3.9","3.6","3.6","3.9","3.6","3.7"
"Poland","POL","Real Wage Growth","DWR","7.1","7.7","5.5","6.2","3.5","28.3","1.4","2.3","0.7","3.3","0.5","1.7","3.8","5.3","5.6","1.9","1.3","1.3","0","1.8","1.5","3","3.2","3.4","3.7","3.8"
"Portugal","PRT","Real Wage Growth","DWR","0.6","4.6","3.1","1.2","3.8","1.1","1.3","1.9","1.6","0.8","0.7","1.3","-0.1","0.7","2","3.5","2.5","-2.6","-1.7","0.2","-2.3","0.1","0.4","0.9","1.4","1.5"
"Qatar","QAT","Real Wage Growth","DWR","2.2","4.4","4.9","5.4","18.8","10","5.6","6.7","5.1","6.4","4.9","9.4","3.3","6.8","1.7","10.8","-3.7","-0.8","14.7","5.8","6.8","8.1","9.4","9.9","10","9.8"
"Romania","ROU","Real Wage Growth","DWR","-1.1","3.7","10.6","-23.3","-1.2","-0.2","1.5","10.5","3.2","8.2","10.1","8.6","11.1","16.2","17","-0.8","-2.8","-1.6","0.8","-0.2","2.7","2.9","2.7","3.1","3.4","3.5"
"Russian Federation","RUS","Real Wage Growth","DWR","-8.7","-4.2","-2.1","0.7","-13.3","-22.1","20.9","20","16.2","11","10.5","12.6","13.3","17.3","11.5","-3.5","5.2","2.9","8.5","5.4","2.8","2.3","2.2","2.9","4","4.4"
"Saudi Arabia","SAU","Real Wage Growth","DWR","-3.1","-2.9","7.4","3.6","4.4","2.5","1.4","0.8","-1.8","-2.5","-0.4","1","1.2","-3.4","-3.6","-1.9","-0.3","-0.7","1","0.3","-2.8","-1.7","-1.2","-1.4","-1.1","-0.9"
