

"Country","ISO","Indicator","Indicator Code","Total (incl. Agri)","Men (incl. Agri)","Women (incl. Agri)","Total (excl. Agri)","Men (excl. Agri)","Women (excl. Agri)",
"Albania (2013)","ALB","pIEiTE","pIEiTE","61.0","58.9","63.5","33.1","38.6","24.1",
"Angola (2009)","AGO","pIEiTE","pIEiTE","94.1","92.8","95.4","89.5","88.2","91.2",
"Argentina (2018 (Q1))","ARG","pIEiTE","pIEiTE","47.1","46.5","48.0","47.2","46.6","48.0",
"Armenia (2017)","ARM","pIEiTE","pIEiTE","47.9","48.4","47.3","24.8","29.0","19.6",
"Austria (2012)","AUT","pIEiTE","pIEiTE","10.0","9.2","11.1","8.9","8.2","9.9",
"Bangladesh (2017)","BGD","pIEiTE","pIEiTE","94.7","93.9","96.6","91.3","91.2","91.9",
"Belgium (2012)","BEL","pIEiTE","pIEiTE","13.5","15.3","11.4","12.8","14.4","11.0",
"Benin (2011)","BEN","pIEiTE","pIEiTE","94.5","91.6","97.2","90.6","83.4","95.8",
"Bolivia (2017)","BOL","pIEiTE","pIEiTE","82.0","80.7","83.8","75.4","73.9","77.4",
"Bosnia and Herzegovina (2014)","BIH","pIEiTE","pIEiTE","29.5","31.0","27.0","17.1","19.6","12.8",
"Botswana (2009)","BWA","pIEiTE","pIEiTE","65.6","63.5","68.0","55.1","50.0","60.5",
"Brazil (2016 (Q3))","BRA","pIEiTE","pIEiTE","46.0","46.0","46.0","42.5","41.1","44.1",
"Brunei Darussalam (2017)","BRN","pIEiTE","pIEiTE","33.0","34.7","30.8","32.4","33.7","30.7",
"Bulgaria (2012)","BGR","pIEiTE","pIEiTE","15.9","17.6","13.9","13.6","15.0","12.1",
"Burkina Faso (2014)","BFA","pIEiTE","pIEiTE","94.6","91.3","97.6","88.4","82.7","93.8",
"Burundi (2014)","BDI","pIEiTE","pIEiTE","98.0","96.9","98.8","89.0","89.9","86.5",
"Cabo Verde (2015)","CPV","pIEiTE","pIEiTE","46.5","49.1","43.7","46.8","48.1","45.5",
"Cambodia (2012)","KHM","pIEiTE","pIEiTE","93.3","91.1","95.7","90.2","86.9","93.8",
"Cameroon (2014)","CMR","pIEiTE","pIEiTE","87.2","82.9","91.7","76.9","72.1","83.2",
"Chad (2003)","TCD","pIEiTE","pIEiTE","94.0","91.7","97.3","75.8","68.5","87.9",
"Chile (2018)","CHL","pIEiTE","pIEiTE","40.7","40.7","40.8","39.5","39.0","40.2",
"China (2013)","CHN","pIEiTE","pIEiTE","54.4","56.4","51.5","53.5","55.5","50.4",
"Colombia (2015)","COL","pIEiTE","pIEiTE","60.6","61.9","58.8","55.4","54.1","56.9",
"Comoros (2004)","COM","pIEiTE","pIEiTE","89.2","86.2","93.8","78.5","74.3","86.4",
"Congo (2009)","COG","pIEiTE","pIEiTE","85.3","88.3","82.9","85.0","88.5","82.1",
"Congo, Democratic Republic of (2012)","COD","pIEiTE","pIEiTE","97.3","96.0","98.7","93.9","92.4","96.3",
"Costa Rica (2017)","CRI","pIEiTE","pIEiTE","37.7","35.9","40.6","36.1","32.9","40.5",
"Côte d'Ivoire (2016)","CIV","pIEiTE","pIEiTE","92.8","90.7","95.9","87.7","82.4","93.8",
"Croatia (2012)","HRV","pIEiTE","pIEiTE","13.0","14.0","11.8","10.8","11.4","10.0",
"Cyprus (2012)","CYP","pIEiTE","pIEiTE","15.1","17.0","13.1","14.1","15.4","12.6",
"Czech Republic (2012)","CZE","pIEiTE","pIEiTE","9.2","11.0","7.0","9.1","10.8","6.9",
"Denmark (2012)","DNK","pIEiTE","pIEiTE","11.2","14.4","7.5","10.8","13.7","7.5",
"Dominican Republic (2016)","DOM","pIEiTE","pIEiTE","53.1","54.7","50.6","50.0","49.8","50.2",
"Ecuador (2018 (Q3))","ECU","pIEiTE","pIEiTE","62.5","59.6","66.4","51.4","47.6","56.2",
"Egypt (2017)","EGY","pIEiTE","pIEiTE","63.9","64.5","61.3","53.0","55.5","41.0",
"El Salvador (2017)","SLV","pIEiTE","pIEiTE","70.2","68.2","72.9","64.2","56.6","72.1",
"Estonia (2012)","EST","pIEiTE","pIEiTE","6.9","7.6","6.1","6.3","6.7","5.9",
"Eswatini (2016)","SWZ","pIEiTE","pIEiTE","59.7","57.8","61.3","57.8","55.7","59.6",
"Ethiopia (2013)","ETH","pIEiTE","pIEiTE","85.8","82.5","89.5","67.8","51.8","79.5",
"Fiji (2016)","FJI","pIEiTE","pIEiTE","66.2","66.3","66.1","62.1","61.2","63.7",
"Finland (2012)","FIN","pIEiTE","pIEiTE","6.3","8.3","4.2","5.1","6.6","3.6",
"France (2012)","FRA","pIEiTE","pIEiTE","9.8","9.6","9.9","8.9","8.6","9.2",
"Gambia (2018)","GMB","pIEiTE","pIEiTE","77.6","75.5","81.5","75.9","74.2","79.2",
"Georgia (2017)","GEO","pIEiTE","pIEiTE","58.6","59.3","57.8","27.8","32.1","22.6",
"Germany (2012)","DEU","pIEiTE","pIEiTE","10.2","10.3","10.2","10.1","10.1","10.0",
"Ghana (2015)","GHA","pIEiTE","pIEiTE","80.6","77.8","83.0","71.6","64.1","76.9",
"Greece (2012)","GRC","pIEiTE","pIEiTE","32.8","34.4","30.4","25.5","28.2","21.6",
"Guatemala (2016 (Q4))","GTM","pIEiTE","pIEiTE","79.7","79.1","80.8","72.7","67.9","78.7",
"Guyana (2017)","GUY","pIEiTE","pIEiTE","50.1","54.3","43.2","46.9","52.1","39.7",
"Honduras (2017)","HND","pIEiTE","pIEiTE","79.3","80.9","76.6","71.3","67.8","74.7",
"Hungary (2012)","HUN","pIEiTE","pIEiTE","12.2","14.5","9.6","10.5","12.7","8.1",
"Iceland (2012)","ISL","pIEiTE","pIEiTE","4.9","5.9","3.9","4.8","5.9","3.8",
"India (2012)","IND","pIEiTE","pIEiTE","88.2","87.7","90.0","78.1","78.6","75.5",
"Indonesia (2017)","IDN","pIEiTE","pIEiTE","83.5","82.7","84.8","78.0","77.0","79.4",
"Iraq (2012)","IRQ","pIEiTE","pIEiTE","66.9","69.9","49.0","66.6","69.7","48.3",
"Ireland (2012)","IRL","pIEiTE","pIEiTE","13.4","18.4","7.9","11.1","14.8","7.2",
"Italy (2012)","ITA","pIEiTE","pIEiTE","19.0","21.2","15.9","18.3","20.3","15.4",
"Jamaica (2016)","JAM","pIEiTE","pIEiTE","58.9","65.9","50.1","51.9","57.1","46.3",
"Japan (2010)","JPN","pIEiTE","pIEiTE","18.7","18.9","18.4","16.3","16.4","16.3",
"Jordan (2016)","JOR","pIEiTE","pIEiTE","54.8","58.7","28.5","51.7","55.4","27.8",
"Kazakhstan (2013)","KAZ","pIEiTE","pIEiTE","29.6","28.4","30.8","29.6","28.4","30.8",
"Korea, Republic of (2014)","KOR","pIEiTE","pIEiTE","31.5","25.9","39.9","28.8","23.8","36.5",
"Kosovo (2012)","UNK","pIEiTE","pIEiTE","34.5","38.1","20.7","31.8","35.8","16.4",
"Kyrgyzstan (2013)","KGZ","pIEiTE","pIEiTE","66.0","73.1","55.3","55.4","63.5","43.9",
"Lao Peoples Democratic Republic (2017)","LAO","pIEiTE","pIEiTE","82.9","80.1","86.0","75.5","72.0","79.6",
"Latvia (2012)","LVA","pIEiTE","pIEiTE","13.2","15.1","11.5","11.2","12.1","10.4",
"Liberia (2010)","LBR","pIEiTE","pIEiTE","86.8","81.5","92.0","77.5","68.6","86.5",
"Lithuania (2012)","LTU","pIEiTE","pIEiTE","12.6","11.4","13.8","9.8","8.2","11.2",
"Luxembourg (2012)","LUX","pIEiTE","pIEiTE","1.2","0.8","1.7","1.0","0.8","1.2",
"Madagascar (2013)","MDG","pIEiTE","pIEiTE","93.6","91.9","95.2","79.8","74.5","85.0",
"Malawi (2013)","MWI","pIEiTE","pIEiTE","83.0","83.7","82.4","67.2","67.1","67.3",
"Maldives (2016)","MDV","pIEiTE","pIEiTE","51.7","51.8","51.5","47.0","44.8","50.2",
"Mali (2016)","MLI","pIEiTE","pIEiTE","92.7","90.8","95.0","86.4","82.8","90.7",
"Malta (2012)","MLT","pIEiTE","pIEiTE","8.1","9.0","6.6","7.7","8.3","6.6",
"Marshall Islands (2018)","MHL","pIEiTE","pIEiTE","33.9","29.4","43.6","28.8","22.5","41.2",
"Mauritania (2012)","MRT","pIEiTE","pIEiTE","90.7","88.6","94.7","85.0","82.0","90.8",
"Mauritius (2017)","MUS","pIEiTE","pIEiTE","52.2","53.8","49.5","52.2","53.8","49.5",
"Mongolia (2017)","MNG","pIEiTE","pIEiTE","51.3","55.8","46.3","32.5","37.0","27.8",
"Morocco (2010)","MAR","pIEiTE","pIEiTE","79.9","81.1","73.9","75.6","77.2","67.6",
"Mozambique (2015)","MOZ","pIEiTE","pIEiTE","95.5","92.5","98.3","86.1","83.4","91.5",
"Myanmar (2017)","MMR","pIEiTE","pIEiTE","81.4","78.0","86.4","78.7","78.1","79.6",
"Namibia (2016)","NAM","pIEiTE","pIEiTE","66.9","66.1","67.9","61.1","60.3","61.9",
"Nepal (2017)","NPL","pIEiTE","pIEiTE","80.3","76.9","85.9","77.3","75.0","82.1",
"Netherlands (2012)","NLD","pIEiTE","pIEiTE","9.4","9.9","8.8","9.2","9.7","8.6",
"Nicaragua (2014)","NIC","pIEiTE","pIEiTE","77.4","80.1","73.1","68.6","66.5","70.7",
"Niger (2011)","NER","pIEiTE","pIEiTE","91.3","87.4","95.9","85.1","74.7","94.2",
"Nigeria (2013)","NGA","pIEiTE","pIEiTE","92.9","90.8","95.1","89.0","83.5","93.2",
"North Macedonia (2015)","MKD","pIEiTE","pIEiTE","19.9","21.1","18.2","9.9","12.0","6.1",
"Norway (2012)","NOR","pIEiTE","pIEiTE","7.3","9.0","5.5","6.9","8.3","5.3",
"Pakistan (2018)","PAK","pIEiTE","pIEiTE","81.7","79.3","90.6","71.2","71.1","72.6",
"Panama (2017)","PAN","pIEiTE","pIEiTE","48.9","50.8","46.2","42.4","42.9","41.8",
"Paraguay (2017)","PRY","pIEiTE","pIEiTE","71.2","70.3","72.6","65.3","63.4","68.0",
"Peru (2017)","PER","pIEiTE","pIEiTE","68.9","64.0","74.3","59.0","52.4","66.1",
"Philippines (2016)","PHL","pIEiTE","pIEiTE","80.0","83.9","73.9","71.5","74.9","67.4",
"Poland (2012)","POL","pIEiTE","pIEiTE","38.0","42.2","32.7","31.6","36.8","25.0",
"Portugal (2012)","PRT","pIEiTE","pIEiTE","12.1","13.5","10.7","10.5","11.8","9.0",
"Republic of Moldova (2010)","MDA","pIEiTE","pIEiTE","28.9","31.9","25.9","13.7","18.9","8.9",
"Romania (2012)","ROU","pIEiTE","pIEiTE","28.9","29.1","28.6","11.1","12.5","9.4",
"Russian Federation (2014)","RUS","pIEiTE","pIEiTE","35.9","39.1","32.7","35.6","38.7","32.5",
"Rwanda (2014)","RWA","pIEiTE","pIEiTE","94.2","92.0","96.2","78.6","78.9","78.0",
"Samoa (2017)","WSM","pIEiTE","pIEiTE","37.4","42.5","27.1","21.4","21.9","20.7",
"Senegal (2016 Q4)","SEN","pIEiTE","pIEiTE","94.3","92.4","96.9","91.9","88.8","95.7",
"Serbia (2018)","SRB","pIEiTE","pIEiTE","19.8","19.1","20.7","14.0","15.4","12.2",
"Seychelles (2018 (Q3))","SYC","pIEiTE","pIEiTE","17.3","25.9","9.0","15.1","22.5","8.5",
"Sierra Leone (2014)","SLE","pIEiTE","pIEiTE","92.5","92.9","92.1","86.0","86.4","85.7",
"Slovakia (2012)","SVK","pIEiTE","pIEiTE","16.7","20.7","12.1","16.5","20.4","12.0",
"Slovenia (2012)","SVN","pIEiTE","pIEiTE","5.0","6.3","3.5","4.1","5.0","3.0",
"South Africa (2018)","ZAF","pIEiTE","pIEiTE","35.2","33.7","37.2","35.1","33.5","37.0",
"Spain (2012)","ESP","pIEiTE","pIEiTE","27.3","26.2","28.7","26.8","25.5","28.4",
"Sri Lanka (2016)","LKA","pIEiTE","pIEiTE","59.7","57.8","61.3","57.8","55.7","59.6",
"Sudan (2011)","SDN","pIEiTE","pIEiTE","87.0","88.0","83.6","77.3","80.8","60.2",
