

"Country","ISO","Indicator","Indicator Code","Total (incl. Agri)","Hommes (incl. Agri)","Femmes (incl. Agri)","Total (excl. Agri)","Hommes (excl. Agri)","Femmes (excl. Agri)",
"Albanie (2013)","ALB","","","61.0","58.9","63.5","33.1","38.6","24.1",
"Angola (2009)","AGO","","","94.1","92.8","95.4","89.5","88.2","91.2",
"Argentine (2018)","ARG","","","47.1","46.5","48.0","47.2","46.6","48.0",
"Arménie (2017)","ARM","","","47.9","48.4","47.3","24.8","29.0","19.6",
"Autriche (2012)","AUT","","","10.0","9.2","11.1","8.9","8.2","9.9",
"Bangladesh (2017)","BGD","","","94.7","93.9","96.6","91.3","91.2","91.9",
"Belgique (2012)","BEL","","","13.5","15.3","11.4","12.8","14.4","11.0",
"Bénin (2011)","BEN","","","94.5","91.6","97.2","90.6","83.4","95.8",
"Bolivie (2017)","BOL","","","82.0","80.7","83.8","75.4","73.9","77.4",
"Bosnie-Herzégovine (2014)","BIH","","","29.5","31.0","27.0","17.1","19.6","12.8",
"Botswana (2009)","BWA","","","65.6","63.5","68.0","55.1","50.0","60.5",
"Brésil (2016)","BRA","","","46.0","46.0","46.0","42.5","41.1","44.1",
"Brunéi Darussalam (2017)","BRN","","","33.0","34.7","30.8","32.4","33.7","30.7",
"Bulgarie (2012)","BGR","","","15.9","17.6","13.9","13.6","15.0","12.1",
"Burkina Faso (2014)","BFA","","","94.6","91.3","97.6","88.4","82.7","93.8",
"Burundi (2014)","BDI","","","98.0","96.9","98.8","89.0","89.9","86.5",
"Cap-Vert (2015)","CPV","","","46.5","49.1","43.7","46.8","48.1","45.5",
"Cambodge (2012)","KHM","","","93.3","91.1","95.7","90.2","86.9","93.8",
"Cameroun (2014)","CMR","","","87.2","82.9","91.7","76.9","72.1","83.2",
"Tchad (2003)","TCD","","","94.0","91.7","97.3","75.8","68.5","87.9",
"Chili (2018)","CHL","","","40.7","40.7","40.8","39.5","39.0","40.2",
"Chine (2013)","CHN","","","54.4","56.4","51.5","53.5","55.5","50.4",
"Colombie (2015)","COL","","","60.6","61.9","58.8","55.4","54.1","56.9",
"Comores (2004)","COM","","","89.2","86.2","93.8","78.5","74.3","86.4",
"Congo (2009)","COG","","","85.3","88.3","82.9","85.0","88.5","82.1",
"Congo, Rép. dém. du (2012)","COD","","","97.3","96.0","98.7","93.9","92.4","96.3",
"Costa Rica (2017)","CRI","","","37.7","35.9","40.6","36.1","32.9","40.5",
